Periodo,departamento,cobertura_boscosa
1996,Amazonas,3163.3
1997,Amazonas,3152.93
1998,Amazonas,3143.98
1999,Amazonas,3140.61
2000,Amazonas,3134.03
2001,Amazonas,3124.7
2002,Amazonas,3118.9
2003,Amazonas,3119.73
2004,Amazonas,3114.62
2005,Amazonas,3113.58
2006,Amazonas,3111.63
2007,Amazonas,3109.34
2008,Amazonas,3111.3
2009,Amazonas,3104.58
2010,Amazonas,3102.77
2011,Amazonas,3108.66
2012,Amazonas,3113.44
2013,Amazonas,3113.39
2014,Amazonas,3113.11
2015,Amazonas,3110.98
2016,Amazonas,3110.27
2017,Amazonas,3104.47
2018,Amazonas,3098.3
2019,Amazonas,3098.52
2020,Amazonas,3094.26
2021,Amazonas,3085.27
2022,Amazonas,3076.7
2023,Amazonas,3061.32
1996,Loreto,34979.15
1997,Loreto,34965.51
1998,Loreto,34942.16
1999,Loreto,34909.67
2000,Loreto,34903.73
2001,Loreto,34898.35
2002,Loreto,34906.56
2003,Loreto,34915.69
2004,Loreto,34910.25
2005,Loreto,34879.84
2006,Loreto,34875.82
2007,Loreto,34879.63
2008,Loreto,34858.02
2009,Loreto,34847.02
2010,Loreto,34817.58
2011,Loreto,34790.33
2012,Loreto,34742.91
2013,Loreto,34710.39
2014,Loreto,34676.31
2015,Loreto,34637.31
2016,Loreto,34639.79
2017,Loreto,34609.01
2018,Loreto,34633.22
2019,Loreto,34610.29
2020,Loreto,34563.61
2021,Loreto,34516.29
2022,Loreto,34425.03
2023,Loreto,34365.64
1996,Madre de Dios,8203.52
1997,Madre de Dios,8200.57
1998,Madre de Dios,8197.98
1999,Madre de Dios,8194.47
2000,Madre de Dios,8192.02
2001,Madre de Dios,8179.91
2002,Madre de Dios,8177.64
2003,Madre de Dios,8171.06
2004,Madre de Dios,8167.44
2005,Madre de Dios,8166.54
2006,Madre de Dios,8162.28
2007,Madre de Dios,8153.47
2008,Madre de Dios,8142.4
2009,Madre de Dios,8136.55
2010,Madre de Dios,8129.54
2011,Madre de Dios,8125.11
2012,Madre de Dios,8117.72
2013,Madre de Dios,8110.4
2014,Madre de Dios,8089.81
2015,Madre de Dios,8077.84
2016,Madre de Dios,8067.12
2017,Madre de Dios,8052.53
2018,Madre de Dios,8045.91
2019,Madre de Dios,8024.63
2020,Madre de Dios,8025.92
2021,Madre de Dios,8014.21
22,Madre de Dios,7986.43
2023,Madre de Dios,7967.1
1996,San Martin,3951.9
1997,San Martin,3935.25
1998,San Martin,3916.64
1999,San Martin,3902.73
2000,San Martin,3889.71
2001,San Martin,3871.8
2002,San Martin,3858.57
2003,San Martin,3839.09
2004,San Martin,3825.05
2005,San Martin,3804.14
2006,San Martin,3785.17
2007,San Martin,3764.83
2008,San Martin,3749.49
2009,San Martin,3732.19
2010,San Martin,3714.47
2011,San Martin,3706.49
2012,San Martin,3693.58
2013,San Martin,3690.01
2014,San Martin,3691.67
2015,San Martin,3686.85
2016,San Martin,3681.68
2017,San Martin,3682.88
2018,San Martin,3684.95
2019,San Martin,3700.02
2020,San Martin,3686.04
2021,San Martin,3661.71
2022,San Martin,3642.02
2023,San Martin,3622.45
1996,Ucayali,9805.02
1997,Ucayali,9804.73
1998,Ucayali,9799.48
1999,Ucayali,9799.23
2000,Ucayali,9796.29
2001,Ucayali,9794.13
2002,Ucayali,9791.26
2003,Ucayali,9783.31
2004,Ucayali,9782.24
2005,Ucayali,9772.53
2006,Ucayali,9763.2
2007,Ucayali,9756.83
2008,Ucayali,9754.28
2009,Ucayali,9736.3
2010,Ucayali,9717.04
2011,Ucayali,9704.9
2012,Ucayali,9691.45
2013,Ucayali,9667.62
2014,Ucayali,9653.85
2015,Ucayali,9634.52
2016,Ucayali,9618.68
2017,Ucayali,9592.47
2018,Ucayali,9576.76
2019,Ucayali,9542
2020,Ucayali,9505.34
2021,Ucayali,9457.83
2022,Ucayali,9395
2023,Ucayali,9354.71
